Headline,Date,Stock_Ticker
Stocks To Watch For May 11,2012-05-11,NVDA
Benzinga's Option Alert Recap From January 27,2017-01-27,NVDA
10 Stocks You Should Be Watching Today,2016-02-18,NVDA
Nvidia Higher Ahead Of Q1 Report,2017-05-09,NVDA
"Intel Guidance Disappoints, But Earnings Season Overall Has Surprised To Upside",2019-04-26,NVDA
Apple CFO Says Apple Care And Advertising Will Be Affected In June Quarter,2020-04-30,AAPL
"Benzinga's Top Upgrades, Downgrades For August 17, 2018",2018-08-17,NVDA
Trade War Heats Up As China Retaliates With Raised Tariffs Of Its Own,2019-05-13,NVDA
"Seeing downward movement in chip stocks, traders attributing move to earlier news Huawei unveiled new Ascend 910 and Ascend 310 AI chips aimed at data centers and smart devices; Nvidia down 4.3%, AMD down 6.1%, Qualcomm down 2.6%, Intel down 1.9%.",2018-10-10,NVDA
Benzinga's Option Alert Recap From October 18,2017-10-18,NVDA
"Airline Shares Jump As Stimulus Agreement Offers Relief, While Nike Up On Earnings",2020-03-25,AAPL
Nvidia CEO Says Quad Core Tablets Coming This Year - Bloomberg,2011-09-06,NVDA
75 Stocks Moving In Tuesday's Mid-Day Session,2020-03-24,NVDA
Nvidia +2.6% Premarket @$140.70 Following Report of $5B Softbank Stake,2017-05-24,NVDA
VentureBeat Reports 'Nvidia launches Shield TV set-top box in China with remastered Nintendo titles',2017-12-05,NVDA
Intel's Ultra-Secret Defense Against ARM Holdings,2011-08-11,NVDA
"Many stocks are trading lower amid continued uncertainty about the future of trade between the US and China, and concerns on U.S. sanctions on Iran and Venezuela.",2019-05-07,NVDA
NVIDIA up 2% Pre-Market Following Analyst Upgrade,2012-02-13,NVDA
Playmakers: The Investor Picks From CNBC's 2018 Stock Draft,2018-04-30,NVDA
4 Technology Stocks Moving In Monday's Pre-Market Session,2019-12-23,NVDA
"Hearing Apple To Reopen Stores Starting Friday, Region Not Specified",2020-05-04,AAPL
Morning Market Losers,2014-06-23,NVDA
NVIDIA Option Alert: Fri $300 Calls Sweep (78) near the Ask: 571 @ $2.637 vs 9131 OI; Ref=$296.25,2020-02-18,NVDA
8 Technology Stocks Moving In Tuesday's Pre-Market Session,2019-12-10,NVDA
"Benzinga's Top Upgrades, Downgrades For November 13, 2017",2017-11-13,NVDA
China Stimulus Doesn't Translate Into US Strength As Deere Prepares To Report Friday,2020-02-20,NVDA
Morning Market Stats in 5 Minutes,2020-06-10,NVDA
UPDATE: B. Riley on Semi Industry Into '16: 'Analysis Suggests Another Intense Year Of M&A In CY16',2015-12-28,NVDA
"10 Stocks To Watch For August 15, 2019",2019-08-15,NVDA
This Derivatives Strategist Is Long NVIDIA Ahead Of Key Data Releases,2016-03-29,NVDA
Can Sony and LL Cool J Compete with Apple?,2012-06-04,NVDA
10 Biggest Mid-Day Market Gainers,2016-05-13,NVDA
Rambus Wins Patent License Renewal With NVIDIA,2018-10-05,NVDA
Societe Generale Upgrades Qualcomm to Hold; What Chip Companies Could Benefit?,2012-07-16,NVDA
Mid-Morning Market Update: Markets Mostly Higher; Nvidia To Buy Mellanox Technologies For $6.9B,2019-03-11,NVDA
"Apple CEO Tim Cook ""We are confident in our future and continue to make significant investments in all areas of our business to enrich our customers' lives ... including our five-year commitment to contribute $350 billion to the United States Economy""",2020-04-30,AAPL
Quick Retreat: Impressive Thursday Turnaround Halted in Its Tracks Amid Fresh Trade Tiff,2020-05-15,NVDA
'Citron knows investors don't read full reports So here is the one takeaway to focus on why $NVDA going to $200. Customers are moving away from GPU to TPU as they find it faster and cheaper.'-Citron Research Tweets (1/2),2018-08-21,NVDA
The Market In 5 Minutes,2017-05-17,NVDA
"AMD, Microchip Tech Among Q3 Semiconductor Favorites At Jefferies",2017-10-23,NVDA
Shares of several technology and growth stocks are trading lower as US equities dip following escalating US-China tensions over Hong Kong. US stocks further fell on worse-than-expected manufacturing data.,2019-12-02,NVDA
"Tesla Earnings: Model 3 Production Target Hit, What's Next?",2018-07-31,NVDA
UPDATE: Apple Cut Number Of Flagship iPhone Units Being Produced Over Jul. To Dec. Period By As Much As 20%,2020-04-27,AAPL
"Shares of several technology companies are trading higher amid market strength following positive data from a study of Gilead's Remdesivir, which is being evaluated for coronavirus. A successful treatment could mean a sooner return to economic activity. NOTE: Some names may also be moving in sympathy following recent earnings from Google and some semiconductor companies.",2020-04-29,NVDA
Semiconductor and microchip stocks are trading higher after Microchip Technology reported strong earnings and Skyworks reported a $2 billion buyback.,2019-02-06,NVDA
NVIDIA Soars After Q4 Report,2016-02-18,NVDA
"NVIDIA Shares Fall ~$3 In Pre-Market Action, Touch Low At $190.75",2017-12-12,NVDA
"Barclays Maintains Overweight on NVIDIA, Lowers Price Target to $180",2019-06-06,NVDA
35 Stocks Moving In Thursday's Pre-Market Session,2019-01-24,NVDA
5 Stocks Moving In Thursday's After-Hours Session,2019-11-15,NVDA
Shares of several technology companies are trading higher after Joe Biden took the delegate lead on Super Tuesday. Biden's more 'moderate' economic policies have been seen as more favorable for growth.,2020-03-04,NVDA
"Nvidia Q3 Earnings Preview: A Tale Of Outstanding Fundamentals, Pricey Stock",2017-11-08,NVDA
Nvidia Keeps Running After SoftBank Acquires 4% Stake,2017-05-24,NVDA
"Raymond James Maintains Outperform on Apple, Raises Price Target to $340",2020-05-01,AAPL
Raymond James On Reports Of Apple iPhone Delays Says 'Apple suppliers we spoke with hadn't seen changes yet'; Says 'Our conclusion is that AAPL is likely selectively notifying suppliers.',2020-04-27,AAPL
"Tug-of-War: Solid Jobs Report, China Trade Talks Lift Market, But AAPL Disappoints",2018-11-02,NVDA
"Shares of several semiconductor companies are trading higher amid positive trends in US-China trade negotiations, Trump loosening the Huawei ban and the Fed signaling a rate cut. Japan/Korea trade tensions could also drive up memory prices.",2019-07-12,NVDA
UPDATE: Oppenheimer Holdings Downgrades NVIDIA Corporation to Perform,2012-12-05,NVDA
Chips Stocks Rattled As Companies Halt Supplying China's Huawei,2019-05-20,NVDA
Nvidia Gets Double Upgrade Ahead Of Earnings,2018-08-15,NVDA
"'Fast Money' Picks For May 11: EA, Nike, Nvidia",2020-05-10,NVDA
NVIDIA Option Alert: Fri $136 Calls Sweep (2) near the Ask: 500 @ $2.9 vs 1359 OI; Earnings 2/7 After Close [est] Ref=$136.9,2019-01-30,NVDA
"UPDATE: Wedbush Reiterates Outperform Rating, Raises PT on Nvidia Corporation",2012-08-10,NVDA
NVIDIA shares are trading higher after the company said it expects 2020 revenue to be roughly the same as 2019 while analysts expected a revenue drop.,2019-02-15,NVDA
Shares of several technology companies are trading lower amid overall market weakness following a collapse in oil prices. Oil has been negatively impacted by excess supply and low demand amid the coronavirus pandemic.,2020-04-21,NVDA
NVIDIA Sees Q4 Sales $2.95B +/- 2% vs $3.06B Est.,2019-11-14,NVDA
Markets Up As Russia Seeks To End Military Activity Near Ukraine,2014-08-08,NVDA
Headlights On Deere: Mixed Results As Company Cites Higher Costs,2018-08-17,NVDA
"NVIDIA Extends Buyback of $2.7B Through 2014, Initiates $0.075/Share Qtr. Dividend",2012-11-08,NVDA
"Esports, Gaming Thrive, Adapt As Nation Grapples With Pandemic",2020-03-19,NVDA
28 Stocks Moving In Friday's Pre-Market Session,2018-02-09,NVDA
Nvidia Spiking on Chatter of Apple Product Inclusion,2012-06-11,NVDA
"Alibaba, Intel, Nvidia, US Steel: 'Fast Money' Picks For March 13",2018-03-13,NVDA
"Shares of several semiconductor companies are trading lower as concerns about the Wuhan coronavirus continue to grow, prompting travel bans in multiple Chinese cities. Reports say the death toll rose to 80 with more than 2,700 people now infected.",2020-01-27,NVDA
How Long Will The Cryptocurrency GPU Boom Last?,2018-02-22,NVDA
NVIDIA Raises Qtr. Dividend from $0.085 to $0.0975/Share,2015-05-07,NVDA
"Nvidia Has One Of The Best Opportunities To Maintain High Multiple, Morgan Stanley Says In Upgrade",2019-11-25,NVDA
Shares of several technology companies are trading higher amid overall market strength on optimism that US coronavirus cases could soon leveling off. NOTE: Some names in the sector have potentially benefited from recent work-at-home trends.,2020-04-08,NVDA
Earnings Preview: NVDA Reports First-Quarter Results Tomorrow,2017-05-08,NVDA
"Jim Cramer Weighs In On Centene, Fastly And More",2019-09-18,NVDA
Benzinga's Top Upgrades,2015-10-30,NVDA
"Apple Is Seeking An Executive To Lead Original Podcast Effort, Is Buying Original Podcasts That Would Be Exclusive; New Podcasts Will Help Promote TV+ Video Service",2020-05-21,AAPL
"Apple Pays Hacker From India $100,000 For Discovering Serious 'Sign In With Apple' Vulnerability",2020-06-01,AAPL
"Macquarie Maintains Outperform On NVIDIA, Sees Graphics Processing As 'killer app' For Majority Of VR/AR Workloads",2016-02-18,NVDA
A Peek Into The Markets: US Stock Futures Signal Lower Start On Wall Street,2019-05-17,NVDA
"VMware, NVIDIA, Google Report Collaboration for 'Graphics-Rich Applications Delivered on Enterprise Cloud Desktops'",2014-08-26,NVDA
One Semiconductor Stock That Could Benefit from Apple's Next iPad,2012-11-28,NVDA
NVIDIA's Crazy Run Begins To Slow Down,2016-12-01,NVDA
"Hearing Piper Sandler Out Positive On Semiconductors, Saying 2020 Appears To Be A Recovery Year For The Semiconductor Market; Unconfirmed",2020-01-15,NVDA
"AMD Downgraded, Analyst Thinks Intel Deal Is 'Unlikely'",2017-05-17,NVDA
NVIDIA with Microsoft Announces Technology Collaboration for Era of Intelligent Edge,2019-10-21,NVDA
"Advanced Micro Devices, Western Digital, Nvdia Seeing Weakness Due to Intel's Revenue Miss",2011-12-12,NVDA
"Nvidia To Partner With Volkswagen, Uber For Self-Driving Car Technology",2018-01-08,NVDA
Key Day Shapes Up For Trade Talks But Earnings Also In Focus As Disney Results Gleaned,2019-05-09,NVDA
Mid-Morning Market Update: Markets Open Lower; NVIDIA Beats Q1 Estimates,2017-05-10,NVDA
"Shares Of Nvidia Slightly Higher Following Report Of Shortages, Higher Pricing",2015-12-24,NVDA
"Nvidia Q3 Earnings Preview: Analysts Forecast Data Center, Gaming, Automotive Performance",2018-11-14,NVDA
"Shares of several technology companies are trading higher after the U.S. and Mexico signed part of an immigration deal. If reached, Mexico would avoid previously announced tariffs; if not reached, President Trump stated tariffs would be reinstated.",2019-06-10,NVDA
NVIDIA Says Mellanox Deal Closing Expected To Occur On Or About Apr. 27,2020-04-16,NVDA
"11 Stocks To Watch For November 14, 2019",2019-11-14,NVDA
"NVIDIA's July Revenue Guided 15% Lower, Adds To Morgan Stanley's Valuation Concerns",2015-05-08,NVDA
"Bank Of America Raises Nvidia Price Target To A Street High, Sees Upside In Multiple Segments",2018-09-25,NVDA
Tigress Financial's Feinseth Reiterates Buy Rating on NVIDIA in Intraday Research Note; He's Convicted Co.'s 'premier position in the graphics chip space will continue to unlock shareholder value',2015-08-13,NVDA
"An Investor's Perspective on Apple's Announcements (Plus, What the Company Didn't Say)",2012-06-13,NVDA
Intel May Have Just 'Burned' $15 Billion On Mobileye,2017-03-14,NVDA
"Top 3 Price Prediction Bitcoin, Ripple, Ethereum: Suffers Amid NVidia And QuadrigaCX As Technical Levels Weigh",2019-01-29,NVDA
Benzinga's Volume Movers,2016-11-11,NVDA
"UBS Maintains Nvidia at Buy, Lowers PT from $17.50 to $16.50",2012-11-06,NVDA
"Hello, Mr. Chips: A Look At AMD's Wild Year",2017-06-22,NVDA
BofA: Nvidia Is The Beneficiary Of A Supercomputing 'Arms Race',2018-01-19,NVDA
The Top 20 Wall Street Analysts Of 2015,2015-12-17,NVDA
"'Update: Nvidia tells CNBC that it is ""temporarily suspending the testing of [its] self-driving cars on public roads to learn from the Uber incident""'-CNBC Now Tweet",2018-03-27,NVDA
"Benzinga's Top ETF Decliners, October 3rd (TNA, DRN, FAS, SOXL)",2011-10-03,NVDA
"Bulls And Bears Of The Week: Caterpillar, Facebook, Microsoft And More",2020-04-19,AAPL
"NVIDIA Reports Q4 Adj. EPS $1.72 vs $1.16 Est., Sales $2.9B vs $2.68B Est.",2018-02-08,NVDA
"Watching Semi/Chip Stocks Following Micron Earnings Beat, Strong Q2 Guidance; Western Digital Shares Up 1%, Intel, AMD Up 0.5%, NVIDIA Up 0.4%",2017-12-19,NVDA
"Amazon Unveils $299 Kindle Fire HD, $499 with 4G LTE",2012-09-06,NVDA
"Bank Of America Likes AMD, Nvidia Ahead Of 2020 Gaming Market Recovery",2019-11-26,NVDA
"Apple, Nvidia, Tesla: Trip Chowdhry's 3 Best Stock Ideas",2016-08-12,NVDA
How Have The Best And Worst Stocks Of 2016 Performed In 2017?,2017-07-05,NVDA
S&P Dow Jones Indices Announces 'NVIDIA Set to Join S&P 100; FleetCor Technologies to Join S&P 500; Penn Virginia to Join S&P SmallCap 600',2018-06-18,NVDA
"UPDATE: Mizuho Maintains Buy On NVIDIA, Raises Target To $230 Notes 'The OctQ top line was driven by Gaming/Data Center strength from ray tracing RTX GPUs and Hyperscale/Cloud customers'",2019-11-15,NVDA
NVIDIA Sees Q4 Rev. $1.27B-$1.326B vs $1.21B Est.,2015-11-05,NVDA
What AI And Autonomous Driving Mean For Nvidia Investors,2017-10-10,NVDA
"Nvidia Analysts Sold On Long-Term Story, But Cautious On Data Center Weakness, Competition",2019-05-17,NVDA
AMD Gains on Rumored Acquisition by Samsung,2012-08-08,NVDA
"NVIDIA Reports Q4 Adj. EPS $1.13 May Not Compare to $0.83 Est., Sales $2.17B vs $2.11B ESt.",2017-02-09,NVDA
"Morgan Stanley 'less negative' On NVIDIA, Says Valuation Is High And Gaming Growth Overstates Longer Terms Growth Possibilities",2015-08-07,NVDA
Nikkei Publishes 'Internet of things promises sustained chip market surge'; Not Seeing Any Chip Stocks Moving On Report,2017-11-28,NVDA
Advanced Micro Devices Gets A Price Target Bump At Canaccord,2016-08-25,NVDA
Rekor Systems Earlier Announced It Has Joined NVIDIA Metropolis Software Partner Program To Apply Deep Learning To Video Streams,2019-07-16,NVDA
Shares of several semiconductor and microchip companies are trading higher as US markets rebound on renewed optimism surrounding US-China trade talks.,2019-05-14,NVDA
UPDATE: Einhorn Spokesperson Declines Comment on Rumor of Nvidia Meeting. Long Position,2014-04-03,NVDA
Fast Money Picks For August 10,2015-08-09,NVDA
"Benzinga's M&A Chatter for Tuesday May 29, 2012",2012-05-29,NVDA
Wells Fargo Initiates NVIDIA at Market Perform (NVDA),2011-03-15,NVDA
Option Alert: Nvidia Feb $110 Call; 3000 @Bid @$5.98,2017-01-11,NVDA
An Easy-To-Use Cheat Sheet For Apple Suppliers,2017-08-10,NVDA
Back The Blockchain With This ETF,2017-12-04,NVDA
Shares of many semiconductors are trading higher on renewed trade optimism after the US was considering suspending tariff increase in exchange for a currency pact. President Trump's administration also plans to allow the sale of some supplies to Huawei.,2019-10-10,NVDA
Option Alert: NVDA Feb16 28.5 Puts Sweep: 1046 @ ASK $1.70: 1054 traded vs 271 OI: Earnings today After Close $27.76 Ref,2016-02-17,NVDA
Pacific Crest Upgraded NVIDIA Corporation to Sector Perform,2014-11-03,NVDA
"Apple Encourages Chinese Tech Company To Rival Foxconn, Aims To Foster Competition",2020-05-13,AAPL
Intel Falls on Revised Guidance,2012-09-07,NVDA
Citron's Andrew Left Currently Speaking on CNBC,2017-01-06,NVDA
An ETF Levered To The Cryptocurrency Trade,2017-10-12,NVDA
Apple's iPhone 9 Launch Could Be Imminent,2020-04-06,AAPL
"Benzinga's Top Upgrades, Downgrades For November 25, 2019",2019-11-25,NVDA
The Most Popular Smartphone Model Of Q1,2020-05-27,AAPL
Macquarie Upgrades NVIDIA to Outperform,2015-08-03,NVDA
Rambus Renews Patent License With NVIDIA,2018-10-05,NVDA
"Macquarie Downgrades NVIDIA Corporation to Underperform, Lowers PT to $14.00",2013-10-11,NVDA
"UPDATE: RBC On NVIDIA, AMD: 'We have noticed ASPs for GPUs coming down in the secondary market (Newegg, Amazon.com, eBay). For this reason, we adjust our estimates slightly to reflect potential gaming softness'",2018-12-27,NVDA
"NVIDIA Corporation Spiking Lower, Hearing Google Nexus won't feature Nividia",2011-06-15,NVDA
"Earnings Scheduled For February 14, 2019",2019-02-14,NVDA
"Argus Research Maintains Buy on NVIDIA, Raises Price Target to $300",2020-01-13,NVDA
19 Technology Stocks Moving In Wednesday's Pre-Market Session,2019-10-09,NVDA
UPDATE: NVIDIA Shares Spike ~8% Following Earnings Release,2015-02-11,NVDA
"With The Mobile Industry Upgrading To 5G, Buy Cavium",2017-03-01,NVDA
Nomura Upgrades NVIDIA to Buy,2016-06-13,NVDA
Intel's Plan To Overtake Qualcomm's Snapdragon Platform,2013-08-21,NVDA
"Job Market Heats Up In January, As Warmer Weather Might Have Helped Add Positions",2020-02-07,NVDA
"Will Apple, Dell And Hewlett-Packard Follow Lenovo And Build Notebooks In-House?",2013-08-19,NVDA
Marvell Announces Integration Of Ethernet Switch Into the NVIDIA DRIVE Autonomous Vehicle Platform,2018-03-27,NVDA
Will COVID-19 Accelerate The Adoption Of Autonomous Vehicles?,2020-04-27,AAPL
Nvidia Sees Q3 Sales $2.35B vs $2.13B Est.,2017-08-10,NVDA
"Semiconductors Continue To Lead Rally Efforts, While Consumer Staples Keep Lagging",2020-04-07,NVDA
What Wall Street Thinks Of Nvidia's Huge Quarter,2017-11-10,NVDA
Are The Semiconductor Stocks Topping?,2017-08-03,NVDA
"RBC Raises Price Target From $205 To $220, Says They Are Confident In Re-Acceleration In Data Center Spending, Sees Cont. Potential For EPS Upside Driven By DC and Gaming Both Near-Term And Long-Term",2017-10-12,NVDA
Martin Scorsese's Next Movie Will Be Financed By Apple: Report,2020-05-28,AAPL
Apple CEO Tim Cook: We Will Not Be Issuing Guidance For The Following Quarter,2020-04-30,AAPL
CNBC Now Tweets: BREAKING: Nvidia to launch graphics cards specifically designed for digital currency mining cnbc.com/id/104554373,2017-06-27,NVDA
Trip Chowdhry Shares Insights Into Apple's Machine Learning & Deep Learning Initiatives,2016-06-15,NVDA
Tesla's Stock Under Selling Pressure,2016-12-29,NVDA
Will Earnings Season Prompt a Resurr-tech-tion?,2019-07-09,NVDA
Stocks To Watch For May 14,2012-05-14,NVDA
"NVIDIA'S Shareholder Returns Increased $800M, Wedbush Lowers PT",2015-05-08,NVDA
101 Stocks Moving In Monday's Mid-Day Session,2020-03-09,AAPL
U.S. Government May Start Scrutinizing Informal Partnerships Between American and Chinese Companies in AI,2018-04-27,NVDA
"Earnings Scheduled For February 17, 2016",2016-02-17,NVDA
"Earnings Scheduled For May 9, 2017",2017-05-09,NVDA
"Apple And Amazon Earnings, Fed Meeting Among Highlights In Busy Week Ahead",2020-04-27,AAPL
"Nvidia CEO Talks New Ampere-Based GPU, Advanced AI System In GTC 2020 Keynote",2020-05-14,NVDA
"UPDATE: Cascend Maintains Buy On NVIDIA, Raises Tgt To $220 Notes 'We see hyperscale AI development work continuing to grow off this summers' strong AI pus'; Believes 'this is a prime opportunity to take advantage of bad news already being in this name'",2019-10-15,NVDA
NVIDIA Launches AI Data Center Platform,2018-09-13,NVDA
Shares of NVIDIA Not Yet Moving Following News of Intel Chip in New Macbook Pro,2013-10-22,NVDA
"Goldman Cautious on TXN & ADI, Favors Names W/ Structural & Content Growth Opportunity Such As NVDA, NXPI, AVGO, SWKS",2016-07-19,NVDA
"Top Performing Industries For November 11, 2016",2016-11-11,NVDA
"UBS Maintains Buy on NVIDIA, Raises Price Target to $320",2020-02-14,NVDA
Weakness in NVIDIA Being Attributed To T.Rowe Comments ON CNBC Calling The Stock Too Expensive,2017-06-27,NVDA
"Shares of several technology companies are trading higher amid market strength following positive data from a study of Gilead's Remdesivir, which is being evaluated for coronavirus. A successful treatment could mean a sooner return to economic activity. NOTE: Some names may also be moving in sympathy following recent earnings from Google and some semiconductor companies.",2020-04-29,AAPL
"UPDATE: Citi Reiterates Hold on NVIDIA, Reduces PT to $18",2011-08-12,NVDA
Apple To Reopen ~100 More US Stores This Week,2020-05-26,AAPL
Shares of several companies in the broader technology sector are trading lower amid global concerns driven by the coronavirus outbreak in China. The technology sector has strong China exposure and the virus has caused some economic disruption concerns in the country.,2020-01-31,NVDA
Chip Stocks Mostly Soar As Intel Raises Q3 Guidance,2016-09-16,NVDA
"Earnings Scheduled For August 9, 2012",2012-08-09,NVDA
NVIDIA Shakes Up Sub-$200 Graphics Market With New GeForce GTX 650 Ti BOOST GPU,2013-03-26,NVDA
Apple Expects Stores To Start Re-Opening In First Half On April,2020-03-24,AAPL
Apple Reopens All China Stores As Coronavirus Cases Drop In Country,2020-03-13,AAPL
9 Companies With Nvidia's Consistency In Delivering Upside To EPS Estimates,2017-01-03,NVDA
12 Biggest Mid-Day Losers For Thursday,2016-12-29,NVDA
Bank Of America Adds Nvidia To Top Stock List After Latest Gaming Checks,2018-04-03,NVDA
"10 Stocks To Watch For April 30, 2020",2020-04-30,AAPL
UPDATE: NVIDIA Sees Q2 Adj. Gross Margins 63.5% +/- 50 Basis Points,2018-05-10,NVDA
Eli Lilly Kicks Off Earnings Day With A Beat And Investors Prepare For Intel After Close,2020-04-23,NVDA
iPhone Maker Foxconn To Produce Ventilators In US,2020-04-08,AAPL
RUMOR: Hearing Dealreporter Speculation China Has Reached A Deal For NVIDIA/Mellanox Deal,2020-03-24,NVDA
"Bulls And Bears Of The Week: Amazon, Boeing, Disney, Netflix And More",2020-04-25,AAPL
"NVIDIA Sees Q3 Sales $2.842B-$2.958B vs $2.97B Estimate, Adj. Gross Margin ~62.5%",2019-08-15,NVDA
Friday Stocks To Watch,2011-04-14,NVDA
Wednesday March 13th Watchlist,2013-03-13,NVDA
"Google Maps To Offer Relevant Local COVID-19 Information For Public Transport, Driving And Testing Centers",2020-06-09,AAPL
"Caution Ahead: Biggest Blue-Chips Seek Change, Innovation Post-COVID-19",2020-05-12,AAPL
"Citron Research @CitronResearch now Citron pressing $NVDA short expect sub $200 soon. Mkt starting to realize that ML/DL is narrowing and hyper-scale core customers experimenting with diff prop hardware solutions, Ether spreads are dead, Auto- unknown. N",2018-04-05,NVDA
Option Alert: NVDA Fri 12/9 95.5 Calls (Wkly) Sweep: 2220 @ ASK $0.30: 3758 traded vs 292 OI: Earnings 2/15 After Close (est) $92.15 Ref,2016-12-06,NVDA
"Tesla Spokesperson Tells Benzinga, 'Tesla's policy is to always decline to comment on speculation' Following Report Co. Shifting From NVIDIA To Intel For Infotainment Needs",2017-09-26,NVDA
US Stock Futures Slightly Higher Ahead Of Economic Data,2012-08-09,NVDA
Shares of several semiconductor companies are trading lower after President Trump announced the U.S. is not doing any business with Huawei. Huawei is an important customer for many semiconductor companies.,2019-08-09,NVDA
"Option Alert: Nvidia Jun $20 Call; 10,000 Contract Trade Between Bid and Ask @$0.67; Currently $18.74",2014-02-24,NVDA
Nvidia Gets Boost From Bullish Piper Jaffray Initiation,2019-03-26,NVDA
"Tesla Developing Its Own AI Chip, Analyst Says Chipmakers Could Gain Manufacturing Contracts",2017-12-08,NVDA
Shares of several technology companies are trading higher despite market weakness. The sector recently experienced some welling and appears to be rebounding following dip.,2020-06-09,NVDA
"Piper Sandler Maintains Overweight on NVIDIA, Raises Price Target to $390",2020-05-22,NVDA
Benzinga's Option Alert Recap From September 13,2017-09-13,NVDA
Technical Set-Up - Death Cross 08-12-2011,2011-08-15,NVDA
PreMarket Prep Recap: Breaking Down The Reaction To Walmart And Nvidia Earnings,2019-11-15,NVDA
"Semiconductors Struggling, These Names Down 2% Or More; Ambarella To Report After Market Closes, Down 6.24% On The Day",2015-09-01,NVDA
CNBC's Stock Pops & Drops From March 18,2015-03-19,NVDA
"UPDATE: Nvidia Posts Better-Than-Expected Q2 Profit, Issues Upbeat Revenue Forecast",2012-08-10,NVDA
"If Qualcomm Can't Revolutionize Car Tech, Nobody Can",2014-11-21,NVDA
7 Must Watch Stocks for Today,2016-05-13,NVDA
NVIDIA shares are trading higher after Benchmark assumes the stock with a Buy rating and announced a $210 price target.,2019-08-21,NVDA
J.P. Morgan Neutral On NVIDIA Corporation (NVDA),2011-03-09,NVDA
Nvidia At CES: 3 Big Announcements Leave Investors With 5 Major Questions,2017-01-05,NVDA
"Benzinga's Bulls & Bears Of The Week: Delta Air, McDonald's, Netflix, Nokia, Tesla And More",2019-01-12,NVDA
NVIDIA Forms Bullish Reversal,2011-11-21,NVDA
78 Biggest Movers From Yesterday,2020-02-20,NVDA
AMD Investors Shrug Off Negative Headlines,2018-03-13,NVDA
"Trump Lashes Out At Washington, Michigan Governors For Pandemic Response: 'We Don't Like To See The Complaints'",2020-03-27,AAPL
"Disney, Beyond Meat And Video Game Makers All Set To Report As Firm Tone Continues",2020-05-05,AAPL
Microsoft: Searching for Signs of Life,2011-10-21,NVDA
"Thursday's After-Hours Movers: 2 Stocks Spiking, 2 Stocks Tanking",2016-08-11,NVDA
"NVIDIA, Taiwan's MOST Announce Collaboration to Supercharge AI Efforts",2018-06-04,NVDA
"Trip Chowdhry Discusses Tesla's Auto-Pilot & Software Updates, Thinks NVIDIA & Mobileye Will Benefit",2015-08-03,NVDA
"Apple's Tim Cook Says Has Been Able To 'Source 10M masks for the US and millions more' For Regions In Europe, Says ' Our ops teams are helping to find and purchase masks from our supply chain in coordination with governments around the world.'",2020-03-25,AAPL
"GPU Technology Conference Continues Today, Day 3 Of 4",2017-05-10,NVDA
Option Alert: NVDA Jun16 33.0 Puts Sweep: 2295 @ ASK $0.11: 2397 traded vs 3462 OI: $41.65 Ref,2016-05-16,NVDA
FAANG Stocks Seem Immune To COVID-19,2020-06-04,AAPL
Pacific Crest Downgrades NVIDIA Corporation to Underperform,2014-06-23,NVDA
Stocks That Hit 52-Week Highs On Friday,2020-06-05,AAPL
NVIDIA Corporation Sees Q1 Sales $1.05B +/- 2% vs $1.0B Est,2014-02-12,NVDA
Benzinga's Volume Movers,2016-05-13,NVDA
"The Market In 5 Minutes: Adidas, Jobless Claims, And More",2017-11-09,NVDA
There's A Late Summer Souring On Semiconductor ETFs,2017-08-30,NVDA
5 Technology Stocks Moving In Friday's Pre-Market Session,2020-02-14,NVDA
Are Cryptocurrency Woes Dragging AMD And Nvidia Shares Lower?,2018-04-02,NVDA
"Citigroup Maintains Buy on NVIDIA, Raises Price Target to $315",2020-02-14,NVDA
144 Biggest Movers From Friday,2020-03-16,AAPL
Mid-Morning Market Update: Markets Mostly Flat; NVIDIA Posts Upbeat Q4 Earnings,2020-02-14,NVDA
Mid-Day Market Update: Calgon Carbon Gains On Acquisition News; JAKKS Pacific Shares Drop,2017-09-21,NVDA
The Main Challenges Faced By The Upcoming EV Era,2020-03-10,AAPL
A Peek Into The Markets: US Stock Futures Up; Crude Oil Rises Over 2%,2020-06-02,AAPL
Sony To Convert Its Financial Subsidiary Into Wholly Owned Unit Through $3.7B Tender Offer,2020-05-19,AAPL
Canaccord Genuity Sees Solid Growth Potential For NVIDIA,2015-03-19,NVDA
"UPDATE: Morgan Stanley Maintains Equal-weight On NVIDIA, Raises Target To $180 As Firm Notes 'Headline is a sharp recovery in gross margins in the October quarter that drives up EPS, unexpectedly'",2019-08-16,NVDA
"UPDATE: Loup Ventures' Bohlig Tells Benzinga Tesla Is Just One Potential Customer' For NVIDIA, Every Autonomous Car 'Will eventually need to integrate NVDA or similar competitor chips'",2017-12-08,NVDA
A Peek Into The Markets: US Stock Futures Signal Higher Start On Wall Street,2020-04-27,NVDA
Apple Ready To Launch 'iPhone 9'; Analyst Says Initial Sales Could Reach 25M Units,2020-04-15,AAPL
FAANG's Out: Investing Gems In Today's Technology Landscape,2019-05-30,NVDA
"Shares of several semiconductor companies are trading lower after weak quarterly results from Broadcom, citing ""broad-based"" demand weakness and the U.S. crackdown on Huawei.",2019-06-14,NVDA
"UPDATE: Nomura Initiates NVIDIA With Neutral, $147 Target As Firm Believes Co's Current Valuation Factors In Co's 'impressive history of developing new markets for its products, and the computing accelerator and automotive' Market Opportunities",2019-04-03,NVDA
