Date,Year,Month,Month_Name,Day,Weekday,Quarter,Transaction Description,Category,Category_Code,Amount,Type,Is_Income
2020-05-12,2020,5,May,12,Tuesday,2,sure authority increase picture create.,Shopping,7,1318.17,Expense,0
2024-09-08,2024,9,September,8,Sunday,3,wrong difficult.,Entertainment,0,1671.53,Expense,0
2022-02-08,2022,2,February,8,Tuesday,1,we cold deep.,Travel,8,93.71,Expense,0
2023-11-14,2023,11,November,14,Tuesday,4,evening information.,Investment,3,823.0,Income,1
2020-06-15,2020,6,June,15,Monday,2,safe whole establish.,Entertainment,0,540.94,Expense,0
2024-03-30,2024,3,March,30,Saturday,1,ago race quite hour.,Food & Drink,1,953.24,Expense,0
2022-08-26,2022,8,August,26,Friday,3,democrat hundred.,Rent,5,227.65,Expense,0
2023-04-22,2023,4,April,22,Saturday,2,level animal minute probably.,Other,4,1664.0,Income,1
2022-09-11,2022,9,September,11,Sunday,3,never condition.,Shopping,7,68.09,Expense,0
2024-03-07,2024,3,March,7,Thursday,1,finish without.,Utilities,9,57.27,Expense,0
2023-11-09,2023,11,November,9,Thursday,4,what strong line.,Entertainment,0,15.45,Expense,0
2022-10-12,2022,10,October,12,Wednesday,4,security minute late cold.,Investment,3,2694.0,Income,1
2021-04-19,2021,4,April,19,Monday,2,deal beyond almost.,Shopping,7,845.47,Expense,0
2021-11-18,2021,11,November,18,Thursday,4,card star avoid nothing.,Food & Drink,1,171.63,Expense,0
2024-12-21,2024,12,December,21,Saturday,4,up hear draw.,Salary,6,784.35,Expense,0
2023-09-15,2023,9,September,15,Friday,3,that reflect send set fly.,Shopping,7,117.58,Expense,0
2021-02-13,2021,2,February,13,Saturday,1,shake hand hundred now.,Health & Fitness,2,1831.36,Expense,0
2021-03-23,2021,3,March,23,Tuesday,1,few reveal activity president.,Investment,3,4023.0,Income,1
2024-12-12,2024,12,December,12,Thursday,4,leave bar prevent require.,Rent,5,1090.95,Expense,0
2023-06-16,2023,6,June,16,Friday,2,company option character land space.,Shopping,7,947.18,Expense,0
2022-06-04,2022,6,June,4,Saturday,2,while same budget.,Food & Drink,1,830.66,Expense,0
2021-02-27,2021,2,February,27,Saturday,1,on someone rise read.,Shopping,7,1878.72,Expense,0
2021-06-09,2021,6,June,9,Wednesday,2,bill beautiful issue.,Food & Drink,1,1580.56,Expense,0
2024-02-19,2024,2,February,19,Monday,1,recognize media goal.,Utilities,9,89.48,Expense,0
2021-06-03,2021,6,June,3,Thursday,2,ahead event yeah make.,Investment,3,820.0,Income,1
2022-03-18,2022,3,March,18,Friday,1,race return pretty young.,Travel,8,1310.83,Expense,0
2023-09-15,2023,9,September,15,Friday,3,wonder draw box.,Investment,3,3626.0,Income,1
2022-05-06,2022,5,May,6,Friday,2,stage bad know of.,Utilities,9,1511.29,Expense,0
2022-05-22,2022,5,May,22,Sunday,2,team republican very plan cut.,Health & Fitness,2,623.76,Expense,0
2022-07-31,2022,7,July,31,Sunday,3,church own stage.,Travel,8,973.62,Expense,0
2020-11-20,2020,11,November,20,Friday,4,position interest.,Shopping,7,117.87,Expense,0
2023-08-30,2023,8,August,30,Wednesday,3,dark camera realize.,Travel,8,384.84,Expense,0
2023-02-06,2023,2,February,6,Monday,1,election hit yourself wrong want.,Health & Fitness,2,549.8,Expense,0
2023-12-18,2023,12,December,18,Monday,4,thus sort.,Salary,6,185.16,Expense,0
2022-04-24,2022,4,April,24,Sunday,2,consider here grow agreement.,Food & Drink,1,288.87,Expense,0
2022-11-07,2022,11,November,7,Monday,4,possible mother especially.,Investment,3,3138.0,Income,1
2022-09-19,2022,9,September,19,Monday,3,develop office approach son.,Shopping,7,1226.5,Expense,0
2024-11-13,2024,11,November,13,Wednesday,4,across federal state.,Investment,3,734.0,Income,1
2020-05-17,2020,5,May,17,Sunday,2,store natural today season.,Rent,5,155.79,Expense,0
2024-09-27,2024,9,September,27,Friday,3,on must certainly.,Shopping,7,1404.42,Expense,0
2020-12-05,2020,12,December,5,Saturday,4,surface expect several evening town.,Shopping,7,389.31,Expense,0
2020-12-28,2020,12,December,28,Monday,4,song risk bad.,Travel,8,1994.88,Expense,0
2024-12-05,2024,12,December,5,Thursday,4,short for late education.,Shopping,7,630.04,Expense,0
2023-01-21,2023,1,January,21,Saturday,1,him fight american music change.,Shopping,7,1018.16,Expense,0
2024-12-28,2024,12,December,28,Saturday,4,quite as when.,Rent,5,514.09,Expense,0
2023-04-15,2023,4,April,15,Saturday,2,size sing tree kitchen.,Travel,8,1072.04,Expense,0
2021-11-10,2021,11,November,10,Wednesday,4,billion morning draw.,Travel,8,259.09,Expense,0
2023-05-15,2023,5,May,15,Monday,2,at decade really issue.,Shopping,7,1703.01,Expense,0
2020-10-16,2020,10,October,16,Friday,4,heavy law church.,Rent,5,1158.27,Expense,0
2020-06-18,2020,6,June,18,Thursday,2,everything late.,Other,4,2322.0,Income,1
2022-05-02,2022,5,May,2,Monday,2,believe product eat generation put.,Entertainment,0,832.98,Expense,0
2022-01-16,2022,1,January,16,Sunday,1,natural together.,Utilities,9,831.79,Expense,0
2020-08-26,2020,8,August,26,Wednesday,3,yeah far within.,Rent,5,1564.65,Expense,0
2021-11-15,2021,11,November,15,Monday,4,win central.,Rent,5,1010.12,Expense,0
2023-08-09,2023,8,August,9,Wednesday,3,religious order.,Travel,8,1500.43,Expense,0
2023-12-06,2023,12,December,6,Wednesday,4,attention standard shake more respond.,Rent,5,871.37,Expense,0
2023-09-12,2023,9,September,12,Tuesday,3,smile have less.,Rent,5,452.28,Expense,0
2023-04-21,2023,4,April,21,Friday,2,about usually.,Health & Fitness,2,1828.82,Expense,0
2020-12-25,2020,12,December,25,Friday,4,event son join hundred.,Salary,6,1746.04,Expense,0
2022-12-16,2022,12,December,16,Friday,4,important focus benefit probably.,Utilities,9,960.62,Expense,0
2021-04-08,2021,4,April,8,Thursday,2,all important shoulder she.,Rent,5,1527.59,Expense,0
2024-01-02,2024,1,January,2,Tuesday,1,gas teacher national weight all.,Travel,8,1099.9,Expense,0
2020-02-18,2020,2,February,18,Tuesday,1,drug list imagine behind.,Investment,3,1398.0,Income,1
2021-12-03,2021,12,December,3,Friday,4,walk anything.,Shopping,7,504.06,Expense,0
2020-10-07,2020,10,October,7,Wednesday,4,it season.,Investment,3,2069.0,Income,1
2023-07-06,2023,7,July,6,Thursday,3,to receive education.,Shopping,7,411.82,Expense,0
2023-02-13,2023,2,February,13,Monday,1,attack mouth rest contain.,Travel,8,1481.76,Expense,0
2022-09-23,2022,9,September,23,Friday,3,party employee nature down.,Travel,8,1838.18,Expense,0
2022-03-02,2022,3,March,2,Wednesday,1,whether listen necessary.,Other,4,2735.0,Income,1
2023-02-26,2023,2,February,26,Sunday,1,term majority foot leader.,Other,4,1262.0,Income,1
2022-03-05,2022,3,March,5,Saturday,1,agree anyone take.,Other,4,2607.0,Income,1
2020-09-11,2020,9,September,11,Friday,3,doctor mr.,Health & Fitness,2,147.22,Expense,0
2022-06-07,2022,6,June,7,Tuesday,2,past product make of group.,Food & Drink,1,1239.49,Expense,0
2023-03-03,2023,3,March,3,Friday,1,worker always hold share.,Shopping,7,158.91,Expense,0
2023-11-26,2023,11,November,26,Sunday,4,task central dinner.,Rent,5,837.9,Expense,0
2024-01-20,2024,1,January,20,Saturday,1,leg drive second she.,Salary,6,1169.78,Expense,0
2023-09-03,2023,9,September,3,Sunday,3,wife talk beat tax majority.,Food & Drink,1,1314.25,Expense,0
2023-01-24,2023,1,January,24,Tuesday,1,pattern wrong kind certainly.,Utilities,9,247.69,Expense,0
2020-05-14,2020,5,May,14,Thursday,2,despite sound receive let.,Health & Fitness,2,484.99,Expense,0
2022-05-29,2022,5,May,29,Sunday,2,grow laugh.,Health & Fitness,2,522.08,Expense,0
2020-03-14,2020,3,March,14,Saturday,1,upon very act perform.,Shopping,7,1929.08,Expense,0
2024-04-09,2024,4,April,9,Tuesday,2,clear single expect.,Health & Fitness,2,431.36,Expense,0
2020-08-04,2020,8,August,4,Tuesday,3,your majority chance mrs generation.,Other,4,3210.0,Income,1
2023-11-09,2023,11,November,9,Thursday,4,conference trade population agreement.,Rent,5,1672.11,Expense,0
2023-10-27,2023,10,October,27,Friday,4,general final knowledge.,Food & Drink,1,609.22,Expense,0
2023-04-09,2023,4,April,9,Sunday,2,worker phone success number.,Investment,3,740.0,Income,1
2023-07-15,2023,7,July,15,Saturday,3,difficult his ready sister building.,Other,4,817.0,Income,1
2022-09-19,2022,9,September,19,Monday,3,allow girl team simply lead.,Health & Fitness,2,710.45,Expense,0
2024-01-30,2024,1,January,30,Tuesday,1,wear use edge this draw.,Entertainment,0,1026.74,Expense,0
2024-11-29,2024,11,November,29,Friday,4,believe recognize analysis those citizen.,Investment,3,2811.0,Income,1
2024-10-15,2024,10,October,15,Tuesday,4,very figure drive special.,Utilities,9,1958.95,Expense,0
2020-08-31,2020,8,August,31,Monday,3,bed far section.,Health & Fitness,2,343.9,Expense,0
2024-07-22,2024,7,July,22,Monday,3,face mission brother figure hear.,Other,4,2611.0,Income,1
2024-02-22,2024,2,February,22,Thursday,1,rate society floor long same.,Entertainment,0,1914.41,Expense,0
2023-06-26,2023,6,June,26,Monday,2,pressure hospital significant.,Travel,8,167.12,Expense,0
2023-03-13,2023,3,March,13,Monday,1,part management.,Health & Fitness,2,798.53,Expense,0
2022-10-01,2022,10,October,1,Saturday,4,real art.,Food & Drink,1,1732.39,Expense,0
2021-03-25,2021,3,March,25,Thursday,1,rather type thousand show.,Shopping,7,837.82,Expense,0
2023-12-08,2023,12,December,8,Friday,4,top mr wind.,Salary,6,698.04,Expense,0
2024-01-04,2024,1,January,4,Thursday,1,allow news.,Investment,3,3852.0,Income,1
2021-03-12,2021,3,March,12,Friday,1,receive case past only drug.,Utilities,9,39.57,Expense,0
2023-05-22,2023,5,May,22,Monday,2,reflect star.,Shopping,7,991.23,Expense,0
2022-02-25,2022,2,February,25,Friday,1,student economic lead.,Other,4,806.0,Income,1
2023-03-29,2023,3,March,29,Wednesday,1,night point action cut.,Salary,6,1768.01,Expense,0
2024-03-27,2024,3,March,27,Wednesday,1,data exist.,Investment,3,2874.0,Income,1
2022-01-23,2022,1,January,23,Sunday,1,such final however major.,Travel,8,1224.05,Expense,0
2024-04-13,2024,4,April,13,Saturday,2,us money positive.,Investment,3,2117.0,Income,1
2022-03-22,2022,3,March,22,Tuesday,1,feel color price next.,Travel,8,1383.68,Expense,0
2020-11-12,2020,11,November,12,Thursday,4,order his oil west school.,Food & Drink,1,1999.15,Expense,0
2024-08-02,2024,8,August,2,Friday,3,sell only manage.,Shopping,7,1231.79,Expense,0
2024-11-03,2024,11,November,3,Sunday,4,doctor population grow bar.,Food & Drink,1,62.47,Expense,0
2022-08-12,2022,8,August,12,Friday,3,color store over some.,Entertainment,0,963.23,Expense,0
2023-04-25,2023,4,April,25,Tuesday,2,bill my near even wall.,Investment,3,663.0,Income,1
2021-05-23,2021,5,May,23,Sunday,2,within admit spend purpose south.,Salary,6,933.27,Expense,0
2024-09-27,2024,9,September,27,Friday,3,find job where.,Health & Fitness,2,375.99,Expense,0
2024-01-26,2024,1,January,26,Friday,1,compare system white magazine after.,Travel,8,1369.95,Expense,0
2021-01-24,2021,1,January,24,Sunday,1,suffer economy play.,Other,4,1620.0,Income,1
2023-01-15,2023,1,January,15,Sunday,1,drive nation heart nearly season.,Travel,8,418.84,Expense,0
2021-05-07,2021,5,May,7,Friday,2,focus executive letter possible final.,Rent,5,1725.6,Expense,0
2021-04-02,2021,4,April,2,Friday,2,together knowledge.,Shopping,7,1737.5,Expense,0
2020-03-24,2020,3,March,24,Tuesday,1,example decision garden.,Entertainment,0,144.13,Expense,0
2024-06-23,2024,6,June,23,Sunday,2,already free.,Salary,6,1735.93,Expense,0
2023-12-13,2023,12,December,13,Wednesday,4,news american foreign.,Health & Fitness,2,1940.59,Expense,0
2021-01-27,2021,1,January,27,Wednesday,1,short indicate police.,Utilities,9,409.58,Expense,0
2023-02-09,2023,2,February,9,Thursday,1,finally relate model.,Travel,8,661.33,Expense,0
2020-06-12,2020,6,June,12,Friday,2,support state.,Utilities,9,1764.02,Expense,0
2022-06-17,2022,6,June,17,Friday,2,way cold.,Health & Fitness,2,541.98,Expense,0
2022-05-20,2022,5,May,20,Friday,2,huge garden family.,Shopping,7,1831.1,Expense,0
2020-06-06,2020,6,June,6,Saturday,2,like see.,Salary,6,1107.84,Expense,0
2023-10-06,2023,10,October,6,Friday,4,good lay coach.,Health & Fitness,2,631.06,Expense,0
2022-04-24,2022,4,April,24,Sunday,2,turn both in animal.,Entertainment,0,1633.41,Expense,0
2024-08-02,2024,8,August,2,Friday,3,we especially five network.,Food & Drink,1,1891.97,Expense,0
2020-12-06,2020,12,December,6,Sunday,4,begin treat stage this.,Utilities,9,1729.41,Expense,0
2022-05-07,2022,5,May,7,Saturday,2,language budget market president.,Entertainment,0,608.47,Expense,0
2021-01-11,2021,1,January,11,Monday,1,hit no energy employee land.,Salary,6,518.1,Expense,0
2021-11-04,2021,11,November,4,Thursday,4,theory tend.,Utilities,9,1537.89,Expense,0
2023-03-08,2023,3,March,8,Wednesday,1,analysis color friend the.,Health & Fitness,2,1929.62,Expense,0
2023-05-29,2023,5,May,29,Monday,2,nation production little could.,Investment,3,2915.0,Income,1
2023-03-13,2023,3,March,13,Monday,1,process law kind over according.,Other,4,2631.0,Income,1
2021-04-11,2021,4,April,11,Sunday,2,president girl condition.,Travel,8,67.62,Expense,0
2020-12-26,2020,12,December,26,Saturday,4,fund cost reality happen.,Investment,3,2423.0,Income,1
2024-10-17,2024,10,October,17,Thursday,4,some court her.,Salary,6,1780.37,Expense,0
2022-06-26,2022,6,June,26,Sunday,2,network never.,Food & Drink,1,366.92,Expense,0
2020-07-04,2020,7,July,4,Saturday,3,state husband.,Rent,5,1442.31,Expense,0
2021-02-19,2021,2,February,19,Friday,1,voice sense current meeting matter.,Investment,3,804.0,Income,1
2021-01-06,2021,1,January,6,Wednesday,1,call door.,Entertainment,0,1067.02,Expense,0
2021-12-01,2021,12,December,1,Wednesday,4,cup hundred rather.,Health & Fitness,2,491.06,Expense,0
2022-06-25,2022,6,June,25,Saturday,2,she join house.,Entertainment,0,430.72,Expense,0
2023-01-29,2023,1,January,29,Sunday,1,smile peace apply.,Food & Drink,1,1004.22,Expense,0
2021-03-20,2021,3,March,20,Saturday,1,expect writer myself management.,Shopping,7,1375.33,Expense,0
2020-08-21,2020,8,August,21,Friday,3,together let.,Health & Fitness,2,681.63,Expense,0
2023-03-30,2023,3,March,30,Thursday,1,so film media.,Investment,3,2917.0,Income,1
2023-10-14,2023,10,October,14,Saturday,4,son rock two.,Utilities,9,430.27,Expense,0
2022-04-02,2022,4,April,2,Saturday,2,perhaps order answer blue structure.,Utilities,9,1540.25,Expense,0
2020-10-07,2020,10,October,7,Wednesday,4,rather listen before.,Investment,3,3084.0,Income,1
2024-09-02,2024,9,September,2,Monday,3,management necessary process not.,Other,4,2533.0,Income,1
2020-07-22,2020,7,July,22,Wednesday,3,week yourself public especially american.,Shopping,7,495.53,Expense,0
2023-08-16,2023,8,August,16,Wednesday,3,gun seven music despite show.,Food & Drink,1,953.45,Expense,0
2023-05-03,2023,5,May,3,Wednesday,2,approach interview condition other.,Other,4,987.0,Income,1
2022-04-01,2022,4,April,1,Friday,2,mean but represent society heart.,Other,4,759.0,Income,1
2023-12-22,2023,12,December,22,Friday,4,ask window full.,Food & Drink,1,1653.56,Expense,0
2024-12-29,2024,12,December,29,Sunday,4,discussion black follow.,Shopping,7,655.78,Expense,0
2021-08-22,2021,8,August,22,Sunday,3,wear force able similar.,Salary,6,83.6,Expense,0
2021-10-30,2021,10,October,30,Saturday,4,number budget.,Rent,5,905.45,Expense,0
2020-09-25,2020,9,September,25,Friday,3,so draw food company.,Travel,8,687.27,Expense,0
2023-01-19,2023,1,January,19,Thursday,1,organization feel.,Salary,6,1909.36,Expense,0
2022-11-13,2022,11,November,13,Sunday,4,control bill.,Rent,5,1270.92,Expense,0
2023-07-25,2023,7,July,25,Tuesday,3,president likely truth animal.,Utilities,9,140.58,Expense,0
2024-01-11,2024,1,January,11,Thursday,1,doctor fine be.,Investment,3,4045.0,Income,1
2023-07-13,2023,7,July,13,Thursday,3,affect marriage present a.,Health & Fitness,2,1757.01,Expense,0
2020-01-25,2020,1,January,25,Saturday,1,play move each left establish.,Health & Fitness,2,1211.41,Expense,0
2020-07-30,2020,7,July,30,Thursday,3,kind appear environment capital explain.,Utilities,9,1489.87,Expense,0
2022-06-19,2022,6,June,19,Sunday,2,section child.,Rent,5,1310.93,Expense,0
2020-12-23,2020,12,December,23,Wednesday,4,fall analysis.,Travel,8,683.74,Expense,0
2021-01-13,2021,1,January,13,Wednesday,1,specific whose.,Utilities,9,156.99,Expense,0
2022-02-22,2022,2,February,22,Tuesday,1,career surface these ahead.,Shopping,7,1578.04,Expense,0
2021-01-06,2021,1,January,6,Wednesday,1,message seek civil all.,Travel,8,723.34,Expense,0
2022-04-01,2022,4,April,1,Friday,2,difference world deep.,Food & Drink,1,1869.82,Expense,0
2022-02-08,2022,2,February,8,Tuesday,1,amount bad raise.,Rent,5,699.26,Expense,0
2023-07-02,2023,7,July,2,Sunday,3,billion land detail exist cover.,Utilities,9,1898.63,Expense,0
2021-12-08,2021,12,December,8,Wednesday,4,start house ahead raise.,Utilities,9,1628.82,Expense,0
2024-04-25,2024,4,April,25,Thursday,2,pretty least if.,Health & Fitness,2,1551.79,Expense,0
2020-07-06,2020,7,July,6,Monday,3,herself training father open investment.,Other,4,1925.0,Income,1
2023-07-17,2023,7,July,17,Monday,3,receive to piece.,Travel,8,567.89,Expense,0
2021-02-24,2021,2,February,24,Wednesday,1,majority none little admit former.,Shopping,7,1313.29,Expense,0
2021-02-11,2021,2,February,11,Thursday,1,mr suggest issue.,Food & Drink,1,1242.9,Expense,0
2022-05-07,2022,5,May,7,Saturday,2,none pressure lay future stay.,Shopping,7,1119.0,Expense,0
2021-08-13,2021,8,August,13,Friday,3,pattern size spend.,Shopping,7,1962.27,Expense,0
2021-12-16,2021,12,December,16,Thursday,4,offer work home.,Health & Fitness,2,100.03,Expense,0
2020-07-17,2020,7,July,17,Friday,3,boy different chance enter.,Health & Fitness,2,195.84,Expense,0
2021-09-19,2021,9,September,19,Sunday,3,position six soldier.,Investment,3,3500.0,Income,1
2021-10-01,2021,10,October,1,Friday,4,base bad tv.,Salary,6,437.0,Expense,0
2024-07-30,2024,7,July,30,Tuesday,3,arrive which consider.,Salary,6,1852.46,Expense,0
2021-06-20,2021,6,June,20,Sunday,2,result many pattern.,Rent,5,626.07,Expense,0
2023-01-03,2023,1,January,3,Tuesday,1,sea three state some around.,Investment,3,4105.0,Income,1
2024-11-17,2024,11,November,17,Sunday,4,wall act special.,Travel,8,1818.76,Expense,0
2022-07-27,2022,7,July,27,Wednesday,3,plant event score official now.,Rent,5,1452.44,Expense,0
2022-04-21,2022,4,April,21,Thursday,2,even history surface son.,Investment,3,4157.0,Income,1
2020-08-05,2020,8,August,5,Wednesday,3,history professional star wonder.,Food & Drink,1,1714.9,Expense,0
2024-02-27,2024,2,February,27,Tuesday,1,course technology site.,Entertainment,0,1918.2,Expense,0
2024-04-17,2024,4,April,17,Wednesday,2,including let result spend.,Travel,8,1389.98,Expense,0
2022-01-05,2022,1,January,5,Wednesday,1,determine not view cell seat.,Food & Drink,1,743.03,Expense,0
2021-03-17,2021,3,March,17,Wednesday,1,individual study value.,Investment,3,855.0,Income,1
2023-03-03,2023,3,March,3,Friday,1,fact huge fight.,Shopping,7,1328.26,Expense,0
2024-04-21,2024,4,April,21,Sunday,2,finish right serious.,Entertainment,0,1427.28,Expense,0
2024-08-28,2024,8,August,28,Wednesday,3,concern should recent across.,Salary,6,1366.37,Expense,0
2024-04-26,2024,4,April,26,Friday,2,because career course.,Travel,8,1718.84,Expense,0
2022-01-28,2022,1,January,28,Friday,1,hard knowledge enjoy let.,Entertainment,0,1883.56,Expense,0
2022-04-18,2022,4,April,18,Monday,2,environmental run head garden box.,Food & Drink,1,488.93,Expense,0
2020-09-22,2020,9,September,22,Tuesday,3,during call north attention.,Rent,5,565.07,Expense,0
2024-02-16,2024,2,February,16,Friday,1,smile ever bag single.,Other,4,2664.0,Income,1
2023-07-07,2023,7,July,7,Friday,3,realize property show either.,Rent,5,183.18,Expense,0
2021-06-23,2021,6,June,23,Wednesday,2,carry fly water cut fire.,Health & Fitness,2,46.28,Expense,0
2024-10-12,2024,10,October,12,Saturday,4,story case.,Entertainment,0,1157.94,Expense,0
2022-03-29,2022,3,March,29,Tuesday,1,throughout series.,Salary,6,1619.3,Expense,0
2020-05-31,2020,5,May,31,Sunday,2,try wonder move trade.,Travel,8,1015.76,Expense,0
2022-01-18,2022,1,January,18,Tuesday,1,order party lot all.,Salary,6,1746.91,Expense,0
2024-01-17,2024,1,January,17,Wednesday,1,somebody prepare few sound.,Entertainment,0,409.77,Expense,0
2020-08-04,2020,8,August,4,Tuesday,3,help usually thank wonder draw.,Shopping,7,133.91,Expense,0
2021-05-29,2021,5,May,29,Saturday,2,deep test thought.,Rent,5,1233.87,Expense,0
2021-05-22,2021,5,May,22,Saturday,2,administration mother in admit.,Rent,5,362.52,Expense,0
2024-01-24,2024,1,January,24,Wednesday,1,draw change agree someone.,Food & Drink,1,1050.23,Expense,0
2021-08-13,2021,8,August,13,Friday,3,specific onto go.,Food & Drink,1,787.0,Expense,0
2021-10-07,2021,10,October,7,Thursday,4,force only shake power poor.,Salary,6,408.35,Expense,0
2024-04-10,2024,4,April,10,Wednesday,2,capital program story mention majority.,Travel,8,396.71,Expense,0
2024-11-11,2024,11,November,11,Monday,4,national free.,Rent,5,1313.12,Expense,0
2023-09-24,2023,9,September,24,Sunday,3,many themselves minute.,Utilities,9,1156.8,Expense,0
2021-07-04,2021,7,July,4,Sunday,3,point be shoulder price great.,Entertainment,0,1939.48,Expense,0
2020-08-30,2020,8,August,30,Sunday,3,best physical always small almost.,Entertainment,0,935.42,Expense,0
2021-04-27,2021,4,April,27,Tuesday,2,none whose.,Entertainment,0,796.57,Expense,0
2024-04-16,2024,4,April,16,Tuesday,2,life bad soon.,Salary,6,1903.56,Expense,0
2024-05-05,2024,5,May,5,Sunday,2,say other never fact.,Travel,8,276.42,Expense,0
2024-07-28,2024,7,July,28,Sunday,3,ever day.,Entertainment,0,898.72,Expense,0
2023-07-07,2023,7,July,7,Friday,3,police two.,Utilities,9,1669.88,Expense,0
2023-10-29,2023,10,October,29,Sunday,4,democratic thousand.,Travel,8,1249.37,Expense,0
2022-03-24,2022,3,March,24,Thursday,1,development the inside thought.,Health & Fitness,2,837.53,Expense,0
2022-12-13,2022,12,December,13,Tuesday,4,task simply draw return probably.,Salary,6,28.48,Expense,0
2022-09-02,2022,9,September,2,Friday,3,college already dream a church.,Investment,3,2920.0,Income,1
2022-07-18,2022,7,July,18,Monday,3,if operation trade necessary myself.,Investment,3,3612.0,Income,1
2022-12-03,2022,12,December,3,Saturday,4,first next popular.,Travel,8,195.75,Expense,0
2021-01-10,2021,1,January,10,Sunday,1,know baby case happen.,Other,4,2472.0,Income,1
2021-11-23,2021,11,November,23,Tuesday,4,structure foreign before.,Salary,6,934.24,Expense,0
2024-07-26,2024,7,July,26,Friday,3,position tend religious.,Salary,6,365.65,Expense,0
2020-05-20,2020,5,May,20,Wednesday,2,phone ever back experience.,Rent,5,1759.75,Expense,0
2023-06-17,2023,6,June,17,Saturday,2,whose other.,Utilities,9,748.33,Expense,0
2024-08-09,2024,8,August,9,Friday,3,world site mr interest treatment.,Health & Fitness,2,486.12,Expense,0
2022-01-06,2022,1,January,6,Thursday,1,word collection those become.,Shopping,7,1171.57,Expense,0
2023-01-27,2023,1,January,27,Friday,1,nature performance yeah.,Rent,5,533.27,Expense,0
2024-08-25,2024,8,August,25,Sunday,3,decision where foreign trial.,Shopping,7,1017.41,Expense,0
2023-08-30,2023,8,August,30,Wednesday,3,heart determine likely.,Rent,5,968.66,Expense,0
2023-03-08,2023,3,March,8,Wednesday,1,religious risk window partner civil.,Other,4,3072.0,Income,1
2021-01-01,2021,1,January,1,Friday,1,your ever woman way avoid.,Food & Drink,1,101.52,Expense,0
2024-09-26,2024,9,September,26,Thursday,3,smile cover of pm eight.,Travel,8,382.43,Expense,0
2023-06-04,2023,6,June,4,Sunday,2,difficult interesting account marriage.,Salary,6,1411.96,Expense,0
2021-03-15,2021,3,March,15,Monday,1,race case.,Other,4,929.0,Income,1
2021-12-26,2021,12,December,26,Sunday,4,against only.,Health & Fitness,2,1512.38,Expense,0
2024-09-18,2024,9,September,18,Wednesday,3,artist sort area.,Salary,6,1879.91,Expense,0
2023-07-15,2023,7,July,15,Saturday,3,four field area young.,Health & Fitness,2,1384.12,Expense,0
2022-02-09,2022,2,February,9,Wednesday,1,challenge organization floor road southern.,Travel,8,1497.2,Expense,0
2021-07-11,2021,7,July,11,Sunday,3,discussion if continue policy.,Shopping,7,192.51,Expense,0
2021-04-08,2021,4,April,8,Thursday,2,year him thank trade.,Shopping,7,1691.86,Expense,0
2021-02-28,2021,2,February,28,Sunday,1,listen whose situation simply officer.,Health & Fitness,2,442.37,Expense,0
2022-07-30,2022,7,July,30,Saturday,3,method exactly.,Rent,5,342.74,Expense,0
2024-06-04,2024,6,June,4,Tuesday,2,among black picture that treat.,Health & Fitness,2,978.85,Expense,0
2022-06-07,2022,6,June,7,Tuesday,2,detail contain attention measure indeed.,Salary,6,1321.98,Expense,0
2024-08-25,2024,8,August,25,Sunday,3,including time reflect.,Other,4,4906.0,Income,1
2021-12-24,2021,12,December,24,Friday,4,future concern sort.,Other,4,3277.0,Income,1
2021-02-20,2021,2,February,20,Saturday,1,case four.,Salary,6,241.08,Expense,0
2021-02-08,2021,2,February,8,Monday,1,face his.,Shopping,7,1934.87,Expense,0
2024-05-02,2024,5,May,2,Thursday,2,success teach mrs beat.,Rent,5,1457.58,Expense,0
2023-03-15,2023,3,March,15,Wednesday,1,challenge president already.,Salary,6,1116.35,Expense,0
2020-01-29,2020,1,January,29,Wednesday,1,source husband.,Shopping,7,166.81,Expense,0
2020-08-21,2020,8,August,21,Friday,3,citizen kid generation onto police.,Travel,8,1506.5,Expense,0
2020-11-27,2020,11,November,27,Friday,4,analysis hair rest wide.,Food & Drink,1,1108.98,Expense,0
2022-10-04,2022,10,October,4,Tuesday,4,office power company sister great.,Salary,6,982.51,Expense,0
2024-12-23,2024,12,December,23,Monday,4,instead writer.,Health & Fitness,2,325.64,Expense,0
2022-09-08,2022,9,September,8,Thursday,3,son include good.,Investment,3,3211.0,Income,1
2020-07-21,2020,7,July,21,Tuesday,3,matter management ball.,Other,4,1096.0,Income,1
2021-12-02,2021,12,December,2,Thursday,4,only true avoid young cup.,Other,4,2530.0,Income,1
2022-02-27,2022,2,February,27,Sunday,1,ever statement measure.,Investment,3,3244.0,Income,1
2022-11-14,2022,11,November,14,Monday,4,resource road do.,Rent,5,811.67,Expense,0
2022-08-23,2022,8,August,23,Tuesday,3,sense including six lot.,Shopping,7,1073.39,Expense,0
2021-12-13,2021,12,December,13,Monday,4,conference five despite.,Salary,6,578.64,Expense,0
2020-07-22,2020,7,July,22,Wednesday,3,same page ago director.,Entertainment,0,1439.51,Expense,0
2024-05-15,2024,5,May,15,Wednesday,2,research month instead.,Entertainment,0,1697.48,Expense,0
2023-06-09,2023,6,June,9,Friday,2,something fine apply gas sing.,Rent,5,108.77,Expense,0
2020-10-23,2020,10,October,23,Friday,4,democratic mention generation.,Shopping,7,1216.57,Expense,0
2023-03-24,2023,3,March,24,Friday,1,brother let.,Shopping,7,1369.59,Expense,0
2021-05-19,2021,5,May,19,Wednesday,2,health pay project pattern.,Investment,3,1921.0,Income,1
